userID	tagID
415	190
716	29
718	240
719	80
720	339
721	340
722	340
723	342
724	264
726	46
727	264
728	46
730	30
731	30
732	30
733	24
734	30
735	342
736	324
738	3
739	344
740	82
742	346
746	46
286	32
749	342
751	350
752	87
753	3
754	342
755	351
756	352
757	30
758	82
760	46
762	355
763	347
185	342
765	42
189	84
396	357
766	352
768	359
571	30
770	344
771	351
772	169
280	124
774	235
776	46
777	30
325	365
781	366
783	368
326	369
725	46
784	190
785	370
786	371
729	87
788	373
789	374
789	70
791	375
792	70
793	145
794	225
796	377
329	225
798	378
799	294
800	29
801	375
802	379
803	29
804	374
805	380
807	374
808	382
809	383
810	374
811	375
812	20
813	225
814	380
814	29
815	384
817	225
819	375
820	374
821	387
822	375
823	225
824	375
825	388
826	375
828	320
148	374
829	390
830	391
674	225
831	392
273	29
832	225
833	379
450	373
834	384
835	374
770	294
836	380
838	393
717	124
840	374
841	294
842	396
843	4
846	115
847	401
850	335
852	60
264	296
856	405
857	404
860	73
861	408
862	124
863	409
864	31
589	121
865	124
445	410
867	404
868	39
322	73
869	296
870	412
871	408
872	413
682	404
873	124
875	414
876	30
880	299
881	225
883	46
884	299
886	27
887	225
648	417
888	225
889	418
890	225
891	299
109	27
27	121
26	1
893	225
895	82
896	77
897	225
898	0
899	0
900	421
903	415
904	414
905	414
613	417
906	157
907	225
909	370
910	425
911	275
712	225
912	117
913	426
915	428
916	429
292	430
918	430
431	430
919	433
309	435
311	45
921	437
924	431
925	430
926	150
928	440
929	263
931	445
932	240
933	294
935	446
646	440
937	42
938	448
939	445
940	449
941	440
650	440
943	292
553	31
945	450
708	31
946	451
947	440
948	452
950	145
242	31
951	453
952	454
266	31
954	456
955	457
956	458
957	459
958	31
196	453
959	459
960	31
200	31
962	459
963	115
964	461
967	461
968	31
969	459
970	464
971	456
975	468
421	32
156	469
979	472
980	121
982	474
985	235
986	477
987	478
988	244
989	409
990	479
991	479
992	480
993	478
994	479
995	478
996	476
420	479
832	482
997	409
527	235
156	476
376	486
1001	476
680	473
1002	487
1003	409
934	440
1005	490
1006	243
1008	59
1009	490
1011	493
1012	494
514	138
1014	138
1015	490
1016	495
903	490
1018	493
127	493
1020	490
1024	65
1027	379
1028	225
1029	500
1030	31
1031	501
1032	225
1033	502
1034	503
1035	65
1036	504
1037	505
1038	154
1039	65
500	506
1040	81
882	225
1042	154
1043	286
1046	303
1047	502
1048	502
1049	225
1050	425
1052	502
1053	502
113	508
36	14
553	508
1054	33
1055	509
1057	122
49	224
942	263
1059	33
1060	33
514	342
1063	342
797	375
1065	267
1066	225
1067	267
1068	225
1070	225
1071	225
806	375
164	45
1073	73
1075	225
1076	30
1077	4
1078	515
1079	516
1080	375
1081	517
182	45
586	4
1082	375
1083	518
1084	490
1085	490
867	225
1088	225
1089	229
837	375
1091	517
1092	521
1055	81
1093	522
1095	243
476	81
1096	124
1097	0
1098	525
1099	526
1100	526
1101	526
619	172
1105	530
1106	531
1107	144
1	151
6	45
1113	526
1114	534
1115	535
1116	534
1117	526
1118	469
86	144
1120	0
1121	294
876	172
1122	526
1123	151
606	45
1124	151
1125	294
1126	45
1128	534
1130	469
1133	151
1134	172
1139	541
1140	541
1141	542
1144	543
1148	171
1149	70
1152	70
1153	70
1154	70
1155	171
1156	549
13	550
1157	551
1158	39
1159	552
1160	85
1161	553
1162	554
1163	553
1164	555
507	553
1166	553
461	171
1169	70
1170	555
37	560
903	171
1173	553
1175	281
1177	551
1178	565
1179	566
1180	567
1182	570
1183	46
1184	169
1185	82
1187	82
1189	571
1190	169
1192	169
1194	27
972	82
1195	87
